Region,County
1,Armstrong
1,Bailey
1,Briscoe
1,Carson
1,Castro
1,Childress
1,Cochran
1,Collingsworth
1,Crosby
1,Dallam
1,Deaf Smith
1,Dickens
1,Donley
1,Floyd
1,Garza
1,Gray
1,Hale
1,Hall
1,Hansford
1,Hartley
1,Hemphill
1,Hockley
1,Hutchinson
1,King
1,Lamb
1,Lipscomb
1,Lubbock
1,Lynn
1,Moore
1,Motley
1,Ochiltree
1,Oldham
1,Parmer
1,Potter
1,Randall
1,Roberts
1,Sherman
1,Swisher
1,Terry
1,Wheeler
1,Yoakum
2,Archer
2,Baylor
2,Brown
2,Callahan
2,Clay
2,Coleman
2,Comanche
2,Cottle
2,Eastland
2,Fisher
2,Foard
2,Hardeman
2,Haskell
2,Jack
2,Jones
2,Kent
2,Knox
2,Mitchell
2,Montague
2,Nolan
2,Runnels
2,Scurry
2,Shackelford
2,Stephens
2,Stonewall
2,Taylor
2,Throckmorton
2,Wichita
2,Wilbarger
2,Young
3,Collin
3,Cooke
3,Dallas
3,Denton
3,Ellis
3,Erath
3,Fannin
3,Grayson
3,Hood
3,Hunt
3,Johnson
3,Kaufman
3,Navarro
3,Palo Pinto
3,Parker
3,Rockwall
3,Somervell
3,Tarrant
3,Wise
4,Anderson
4,Bowie
4,Camp
4,Cass
4,Cherokee
4,Delta
4,Franklin
4,Gregg
4,Harrison
4,Henderson
4,Hopkins
4,Lamar
4,Marion
4,Morris
4,Panola
4,Rains
4,Red River
4,Rusk
4,Smith
4,Titus
4,Upshur
4,Van Zandt
4,Wood
5,Angelina
5,Hardin
5,Houston
5,Jasper
5,Jefferson
5,Nacogdoches
5,Newton
5,Orange
5,Polk
5,Sabine
5,ugustine
5,San Jacinto
5,Shelby
5,Trinity
5,Tyler
6,Austin
6,Brazoria
6,Chambers
6,Colorado
6,Fort Bend
6,Galveston
6,Harris
6,Liberty
6,Matagorda
6,Montgomery
6,Walker
6,Waller
6,Wharton
7,Bastrop
7,Blanco
7,Burnet
7,Caldwell
7,Fayette
7,Hays
7,Lee
7,Llano
7,Travis
7,Williamson
8,Bell
8,Bosque
8,Brazos
8,Burleson
8,Coryell
8,Falls
8,Freestone
8,Grimes
8,Hamilton
8,Hill
8,Lampasas
8,Leon
8,Limestone
8,Madison
8,McLennan
8,Milam
8,Mills
8,Robertson
8,San Saba
8,Washington
9,Atascosa
9,Bandera
9,Bexar
9,Comal
9,Frio
9,Gillespie
9,Guadalupe
9,Karnes
9,Kendall
9,Kerr
9,Medina
9,Wilson
10,Aransas
10,Bee
10,Brooks
10,Calhoun
10,DeWitt
10,Duval
10,Goliad
10,Gonzales
10,Jackson
10,Jim Wells
10,Kenedy
10,Kleberg
10,Lavaca
10,Live Oak
10,McMullen
10,Nueces
10,Refugio
10,San Patricio
10,Victoria
11,Cameron
11,Dimmit
11,Edwards
11,Hidalgo
11,Jim Hogg
11,Kinney
11,La Salle
11,Maverick
11,Real
11,Starr
11,Uvalde
11,Val Verde
11,Webb
11,Willacy
11,Zapata
11,Zavala
12,Andrews
12,Borden
12,Coke
12,Concho
12,Crane
12,Crockett
12,Dawson
12,Ector
12,Gaines
12,Glasscock
12,Howard
12,Irion
12,Kimble
12,Loving
12,Martin
12,Mason
12,McCullock
12,Menard
12,Midland
12,Pecos
12,Reagan
12,Reeves
12,Schleicher
12,Sterling
12,Sutton
12,Terrell
12,Tom Green
12,Upton
12,Ward
12,Winkler
13,Brewster
13,Culberson
13,El Paso
13,Hudspeth
13,Jeff Davis
13,Presidio
